Ativo;1 - LATICINIO CAMBUIENSE;(35) 3431-3257;;;Cambuí (MG);MG;AV. JOAO SIMOES DE CARVALHO, 60;37600-000;SANTA CRUZ;1068758880035
Ativo;1 - PUROLEITE INDUSTRIAL LTDA;(31) 3295-1455;;;Passa Tempo (MG);MG;FAZENDA MATA GRANDE, SN;35537-000;ZONA RURAL;4777508520005
Ativo;1 CASAS GUANABARA ENGENHO DE DENTRO CASAS GUANABARA;(21) 3331-9191;;luciane@supermercadosguanabara.com.br;Rio de Janeiro (RJ);RJ;RUA ADOLFO BERGAMINE, 113 - RUA DANIEL CARNEIRO;20730-000;ENGENHO DE DENTRO;81.708.18-5
Ativo;10 CASAS GUANABARA VILA ISABEL CASAS GUANABARA;(21) 2263-2204;;;Rio de Janeiro (RJ);RJ;RUA MAXWELL, 520 - COM ENT SUPL PELA RUA BARAO DE VASSOURAS;20541-100;VILA ISABEL;77.694.89-7
Ativo;11 CASAS GUANABARA CAMPO GRANDE SUPERMERCADOS GUANABARA;(21) 3338-8394;;luciane@supermercadosguanabara.com.br;Rio de Janeiro (RJ);RJ;RUA AURELIO DE FIGUEIREDO, 205;23052-000;CAMPO GRANDE;82.475.74-5
Ativo;12 CASAS GUANABARA SÃO GONÇALO CASAS GUANABARA COMESTIVEIS LTDA;(21) 3385-4835;;luciane@supermercadosguanabara.com.br;São Gonçalo (RJ);RJ;AVENIDA JORNALISTA ROBERTO MARINHO, 221 - ANTIGAS AREAS C-2 E C-3 DA AV. MARICA;24451-715;MUTONDO;79.642.22-3
Ativo;2 CASAS GUANABARA PENHA CASAS GUANABARA COMESTIVEIS LTDA;(21) 2588-5585;;luciane@supermercadosguanabara.com.br;Rio de Janeiro (RJ);RJ;AVENIDA BRAZ DE PINA, 201 - ENT SUPLE PELA RUA ENG FRANCISCO PASSOS;21070-031;PENHA;78.309.01-6
Ativo;27 Casas Guanabara Recreio dos Bandeirantes 27 CASAS GUANABARA RECREIO;(21) 2142-9191;;guanabara@guanabara.com.br;Rio de Janeiro (RJ);RJ;AVENIDA DAS AMERICAS, 16880 - ENT SUP AV. MIGUEL ANTONIO FERNANDES 140 E RUA WER;22790-704;RECREIO DOS BANDEIRANTES;14.698.11-6
Ativo;29 SUPERMERCADO GUANABARA SUPERMERCADO GUANABARA;(21) 2142-9191;;luciane@supermercadosguanabara.com.br;São João de Meriti (RJ);RJ;AVENIDA NOSSA SENHORA DAS GRACAS, 214 - LOJA S PEDRO/ S J BATISTA;25515-001;CENTRO;84.331.37-6
Ativo;3 - CRISTALCOPO PP - SC - 05.316.470/0003-44;(48) 3467-1600;;nfe@cristalcopo.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Criciuma (SC);SC;OTAVIO DASSOLER, 4247;88812-850;LINHA BATISTA;257292969
Ativo;3 CASAS GUANABARA PIEDADE CASAS GUANABARA;(21) 2591-6196;;luciane@supermercadosguanabara.com.br;Rio de Janeiro (RJ);RJ;AVENIDA DOM HELDER CAMARA, 8403 - 8433/R.DIV.SALVADOR;20751-001;PIEDADE;81.958.08-4
Ativo;3 DANTAS COMERCIO DE PRODUTOS ALIMENTICIOS LTDA;(24) 98849-8659;;trigoangra@gmail.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Angra dos Reis (RJ);RJ;RUA SAO JUDAS TADEU, 108;23935-330;PARQUE BELEM (CUNHAMBEBE);12585250
Ativo;3A FRIOS, LATICINIOS E EMBUTIDOS;(41) 9267-3273;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Pinhais (PR);PR;AVENIDA MARINGA, 1601;83325-212;EMILIANO PERNETA;9082743267
Ativo;4 CASAS GUANABARA REALENGO CASA GUANABARA;(21) 2263-2204;;luciane@supermercadosguanabara.com.br;Rio de Janeiro (RJ);RJ;AVENIDA SANTA CRUZ, 419 - ENT SUPL RUA MARECHAL SOARES ANDREIA J E D 405;21710-231;REALENGO;82.232.17-6
Ativo;5 CASAS GUANABARA BANGU SUPERMERCADOS GUANABARA;(21) 3421-8707;;luciane@supermercadosguanabara.com.br;Rio de Janeiro (RJ);RJ;AVENIDA MINISTRO ARY FRANCO, 80;21810-011;BANGU;82.235.18-3
Ativo;55.920.544 TAMIRES NASCIMENTO DA SILVA VENANCIO;(21) 2758-3226;;tamires.nascimento@yahoo.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Belford Roxo (RJ);RJ;R ALMEIDA SANTOS, 240;26130-420;SANTO ANTONIO DA PRATA;14.895.00-0
Ativo;57.638.407 ISAIAS SIMPLICIO ALVES DE SOUSA;(24) 2452-1440;;clhenriquecont@yahoo.com.br;Valença (RJ);RJ;AVENIDA NILO PECANHA, 1010 - CASA 4;27600-246;CENTRO;
Ativo;58641023 Raphael Tavares Duque Domenech de Mello;(32) 98484-9974;;;Valença (RJ);RJ;Rua Sao Pedro, 399 - Casa 02;27650-000;Parapeuna;15268891
Ativo;6 CASAS GUANABARA ITAGUAÍ SUPERMERCADOS GUANABARA;(21) 2688-2678;;luciane@supermercadosguanabara.com.br;Itaguaí (RJ);RJ;RUA DR CURVELO CAVALCANTE, 758;23830-040;CENTRO;81.432.27-9
Ativo;60.697.301 LUANA DA CUNHA PEREIRA;(21) 7184-0181;;luanapereira.lupereira@gmail.com;Marica (RJ);RJ;"RUA TRINTA E DOIS QUADRA, 483 - QUADRA 425;LOTE 29";24933-670;JARDIM ATLANTICO LESTE (ITAIPUACU);15.529.32-6
Ativo;63.995.126 DAVI MAICON AMARAL FREZ;(21) 3365-1817;;davifrez@gmail.com;Rio de Janeiro (RJ);RJ;ESTRADA DO CAMPINHO, 5984;23066-640;CAMPO GRANDE;15.994.62-2
Ativo;7 CASAS GUANABARA BARRA DA TIJUCA CASAS GUANABARA;(21) 3385-4835;;;Rio de Janeiro (RJ);RJ;AVENIDA DAS AMERICAS, 3501 - ENTR. SUPL. PELA R. HELIO FRAGA S/N E R. DALCIDIO;22631-003;BARRA DA TIJUCA;79.017.00-0
Ativo;8 CASAS GUANABARA NITERÓI SUPERMERCADOS GUANABARA;(21) 3385-4833;;;Niterói (RJ);RJ;RUA MARECHAL DEODORO, 360;24030-060;CENTRO;78.638.27-3
Ativo;9 CASAS GUANABARA IRAJA CASAS GUANABARA;(21) 2471-2733;;;Rio de Janeiro (RJ);RJ;AVENIDA MONSENHOR FELIX, 1213 - RUA JOSE BORGES E PBF;21235-110;IRAJA;82.047.63-8
Ativo;A NOSSA PADARIA E CONFEITARIA LTDA;(21) 98837-6023;;laserrenho@hotmail.com;Rio de Janeiro (RJ);RJ;RUA GUSTAVO SAMPAIO, 760 - LETRA A ENTRADA SUPLEMENTAR RUA ANTONIO VIEIRA 14 LOJA;22010-010;LEME;81.460.52-3
Ativo;A. E. P. RIBEIRO COMERCIO DE PRODUTOS ALIMENTICIOS;(22) 2523-8174;;mercadoirmaosribeiro@hotmail.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Nova Friburgo (RJ);RJ;R TEOFILO MARRA, 05 - LOJA B;28613-680;CORDOEIRA;78.609.04-4
Ativo;A. RIBEIRO COIMBRA EIRELI;(22) 2527-4904;;contato@ftcontabilidade.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Nova Friburgo (RJ);RJ;R JOSE ERNESTO KNUST, 75;28635-495;CONSELHEIRO PAULINO;78.642.44-0
Ativo;AB MIDIA;(21) 3183-7713;;;Rio de Janeiro (RJ);RJ;Rua Monsenhor Manuel Gomes, 63 - galpao;20931-670;Sao Cristovao;78406135
Ativo;ABILHAO;;;panificacaomarinho@globo.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Rio de Janeiro (RJ);RJ;R MARIO BRAGA, 197 - A;21341-170;OSWALDO CRUZ;82137246
Ativo;ABRIGO SANTA HELENA DE JUIZ DE FORA;(32) 3235-1048;FÁTIMA;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Juiz de Fora (MG);MG;AV FRANCISCO VALADARES, 2745;36020-485;VILA IDEAL;
Ativo;AC INDEPENDENCIA SHOPPING;(31) 3236-9216;;mgac36033-970@correios.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Juiz de Fora (MG);MG;"AVENIDA INDEPENDENCIA, 3600 - LOJA: H - PISO G2;";36025-290;SAO MATEUS;
Ativo;ACL COMERCIAL ELETRICA E ELETRONICA LTDA;(32) 3215-8609;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Juiz de Fora (MG);MG;RUA SANTA RITA, 265;36010-070;CENTRO;3674644090094
Ativo;Açotel Indústria e Comércio LTDA;(24) 2251-7979;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Três Rios (RJ);RJ;Rua Isaltino Silveira, 768;25804-250;Cantagalo;78333235
Ativo;Açotel Indústria e Comércio LTDA;(24) 2251-7979;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Três Rios (RJ);RJ;Rua Isaltino Silveira, 768 - Galp.17/18;25804-250;Cantagalo;11877117
Ativo;ACOUGUE BARAO;(21) 98261-8216;;sasousasilva@proton.me,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Rio de Janeiro (RJ);RJ;RUA BARAO DE PETROPOLIS, 00429 - LOJA A;20251-061;RIO COMPRIDO;11986501
Ativo;ADDCON CONTABILIDADE;(32) 2101-0675;;constituicao@addcon.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Juiz de Fora (MG);MG;AV DOS ANDRADAS, 547 - SALA 606 6 PAV;36036-000;CENTRO;
Ativo;ADILSON DOS SANTOS;;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;;;;;;
Ativo;ADINEIA NICOLAU DE ANDRADE;;;;;;;;;
Ativo;ADONAI ATACADISTA LTDA;(21) 3377-5271;;xml@gpadonai.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Rio de Janeiro (RJ);RJ;AV BRASIL, 31180;21725-001;PADRE MIGUEL;12.136.94-3
Ativo;AGUA BENTA CACHAMBI;(21) 2022-2058;;janastaciadeoliveira@gmail.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Rio de Janeiro (RJ);RJ;R GETULIO, 501 - LOJA E;20775-000;TODOS OS SANTOS;
Ativo;AGUIALOG TRANSPORTES LTDA;;;;Serra (ES);ES;RUA COMENDADOR ALCIDES SIMAO HELOU, 1478;;;083682970
Ativo;AGUIMAEL COMERCIO DE GENEROS ALIMENTICIOS LTDA;243354-5343;;super.mercadoparaiso@hotmail.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Resende (RJ);RJ;R DOM BOSCO,, 139;27535-070;PARAISO;85776932
Ativo;ALEGRIA COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI;243355-0736;;financeiro@supermercadoalegria.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Resende (RJ);RJ;AV PERIMETRAL NORTE, 376;27525-031;CIDADE ALEGRIA;79373222
Ativo;ALELO;112188-1800;;tributarioeregulatorio@elopar.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Barueri;;AL XINGU, 512 ANDAR 3 ANDAR 4 ANDA;06455-030;ALPHAVILLE CENTRO INDUSTRIAL E EMPRESARIAL/AL;
Ativo;ALEM INDUSTRIA DE MASSAS LTDA;(32) 2101-0675;;constituicao@addcon.com.br;Valença (RJ);RJ;ESTRADA VALENCA FIGUEIRA, 10300;27608-174;SANTA INACIA;14.921.35-4
Ativo;ALEX SILVA DE SOUZA.;;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;;;;;;
Ativo;ALEXANDRE DOS SANTOS CASSIANO 09805773736;(24) 99961-3622;;alexandresantoscassiano@gmail.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Valença (RJ);RJ;RUA TARGINO JOSE PEREIRA, 603;27600-000;OSORIO;
Ativo;ALEXANDRE FREITAS MAIS;;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;;;;;;
Ativo;ALIMENTARES;(21) 3890-0499;;gmassessoria@mls.com.br,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Rio de Janeiro (RJ);RJ;R CAPITAO FELIX, PAV 2- RUA 2 BLOCO F, 110 - LOJA 16 - PARTE;20920-310;BENFICA;77.959.15-7
Ativo;ALLAN GUEDES DA SILVA;;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;;MG;;;;
Ativo;ALT LOG TRANSPORTADORA LTDA;;;db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;São José do Rio Pardo (SP);SP;RUA VENDRAMIN SEMENSATO, 255;;;646088537119
Ativo;ALTAIR VITOR PEREIRA JUNIOR 1091244;;;;Piumhi (MG);MG;(37), 9119 - 6433;;;0040575840013
Ativo;ALVO ITAPERUNA;(21) 3715-1320;;thiago.mattos@smalvorada.com,db9908904e705c6d48d50121d3e256ae@multinotas.nasajon.com.br;Itaperuna (RJ);RJ;AV PRESIDENTE DUTRA, 1125;28300-000;CIDADE NOVA;11.626.73-4
